iter	RMSE
0	0.9519882839
1	0.9092406164
2	0.8671262348
3	0.8297520755
4	0.7922590836
5	0.7551275866
6	0.7222865427
7	0.6902464696
8	0.6588661899
9	0.6295203095
10	0.6028743049
11	0.5779858871
12	0.5534574237
13	0.5316048004
14	0.5092920908
15	0.4890743382
16	0.4693741992
17	0.4503459388
18	0.4332256283
19	0.4170011348
20	0.4018726456
21	0.3871885905
22	0.3736710082
23	0.3605993692
24	0.3478465101
25	0.3368251436
26	0.3251855161
27	0.3152284756
28	0.305057331
29	0.2955533198
30	0.2874232608
31	0.2786058441
32	0.2700931477
33	0.2619596706
34	0.2555092352
35	0.2478851376
36	0.2412922428
37	0.2349022403
38	0.2287411679
39	0.2234589708
40	0.2182512175
41	0.2132017456
42	0.2080654293
43	0.2034392844
44	0.1984730294
45	0.1941985791
46	0.1907735443
47	0.1866078843
48	0.1828231349
49	0.1795197254
50	0.1757038044
51	0.1724692759
52	0.1694198815
53	0.1664912753
54	0.1637739554
55	0.1609693377
56	0.1587131758
57	0.1566264601
58	0.1545537929
59	0.1523504148
60	0.1502627579
61	0.1482488179
62	0.1464447858
63	0.143865081
64	0.1421710277
65	0.1404655073
66	0.1388551803
67	0.1371918005
68	0.1354008728
69	0.1340611577
70	0.1327843469
71	0.1310702133
72	0.1297891114
73	0.1283156826
74	0.1271214854
75	0.1260516093
76	0.1250206333
77	0.1239114313
78	0.1229589771
79	0.1220994402
80	0.1212300183
81	0.1204119161
82	0.1195777879
83	0.1189389255
84	0.118273285
85	0.1175021298
86	0.1168489582
87	0.1160837578
88	0.1155417559
89	0.1148641612
90	0.114251331
91	0.1133254928
92	0.1127421673
93	0.1120785119
94	0.1115948555
95	0.1108721802
96	0.110051547
97	0.1095582711
98	0.109196014
99	0.1087957529
100	0.108445958
101	0.1079172207
102	0.1076049764
103	0.1070712806
104	0.1065871715
105	0.1061181217
106	0.1057417248
107	0.1052626268
108	0.1050062543
109	0.1046703633
110	0.1044175559
111	0.1041648394
112	0.1038911528
113	0.1034986688
114	0.1032729097
115	0.1029774378
116	0.1026517282
117	0.1023961032
118	0.1021055512
119	0.1017369624
120	0.1014581605
121	0.1012179351
122	0.1010494683
123	0.1008066176
124	0.1005446642
125	0.1003528002
126	0.1002046694
127	0.09993223635
128	0.09974019617
129	0.09954856477
130	0.09939712726
131	0.09919459302
132	0.09909474751
133	0.09885659162
134	0.09871353051
135	0.09854624578
136	0.09836441732
137	0.09818673417
138	0.09810008636
139	0.09795584816
140	0.09773559566
141	0.09756029734
142	0.09733617796
143	0.09716894872
144	0.09702418193
145	0.09687602396
146	0.09669612042
147	0.09655029256
148	0.09642780118
149	0.09633777818
150	0.09618399296
151	0.09606118142
152	0.09593013084
153	0.09580870694
154	0.09567307909
155	0.09553623953
156	0.09541960693
